file,x,y,density,r
0,2589,1523.3,22320.8,0.0407,100
1,2589,1516.0,21908.6,0.0381,100
2,2589,1753.7,22357.7,0.0378,100
3,2589,5310.3,22409.7,0.0376,100
4,2589,1518.3,22110.2,0.0374,100
5,2589,1561.8,21641.5,0.0372,100
6,2589,1297.0,22407.5,0.0366,100
7,2589,2788.2,21286.0,0.0365,100
8,2589,20476.2,18621.6,0.0361,100
9,2589,20365.9,18981.9,0.0359,100
0,2439,17923.0,8516.9,0.0334,100
1,2439,5462.7,16040.8,0.0305,100
2,2439,15843.0,3946.4,0.0296,100
3,2439,13344.2,5910.1,0.0293,100
4,2439,18333.7,8486.7,0.0286,100
5,2439,13111.8,6310.2,0.0283,100
6,2439,10114.1,789.0,0.0282,100
7,2439,10875.1,4205.5,0.028,100
8,2439,11765.0,7634.1,0.0279,100
9,2439,12371.9,8643.3,0.0277,100
0,2487,14112.7,10615.6,0.0384,100
1,2487,17683.8,16235.1,0.0383,100
2,2487,17489.9,16166.0,0.031,100
3,2487,28570.6,8677.9,0.028,100
4,2487,26645.3,5844.1,0.0279,100
5,2487,16987.5,9306.9,0.0275,100
6,2487,18454.6,9612.9,0.0273,100
7,2487,17773.2,16080.0,0.027,100
8,2487,16510.2,11749.0,0.0267,100
9,2487,18336.4,6825.1,0.0266,100
0,2533,21290.8,6233.8,0.0364,100
1,2533,16889.6,15136.2,0.0347,100
2,2533,16656.2,14944.2,0.0339,100
3,2533,14022.7,9008.0,0.0337,100
4,2533,9904.9,10395.0,0.033,100
5,2533,17270.0,16316.5,0.033,100
6,2533,13925.2,8750.4,0.0327,100
7,2533,17347.8,19538.0,0.0323,100
8,2533,4561.8,18102.5,0.0321,100
9,2533,17227.1,16088.9,0.032,100
0,2567,16530.6,8929.8,0.056,100
1,2567,16000.2,8593.0,0.0549,100
2,2567,16083.0,11139.9,0.0538,100
3,2567,15747.1,14874.0,0.0534,100
4,2567,14681.0,8881.9,0.0533,100
5,2567,15449.1,10075.6,0.053,100
6,2567,17171.2,7844.4,0.0529,100
7,2567,16337.1,8967.7,0.0527,100
8,2567,15552.1,8351.3,0.0526,100
9,2567,15847.5,8407.1,0.0526,100
0,2567,16530.6,8929.8,0.056,100
1,2567,16000.2,8593.0,0.0549,100
2,2567,16083.0,11139.9,0.0538,100
3,2567,15747.1,14874.0,0.0534,100
4,2567,14681.0,8881.9,0.0533,100
5,2567,15449.1,10075.6,0.053,100
6,2567,17171.2,7844.4,0.0529,100
7,2567,16337.1,8967.7,0.0527,100
8,2567,15552.1,8351.3,0.0526,100
9,2567,15847.5,8407.1,0.0526,100
0,2589,10520.9,2030.8,0.0376,100
1,2589,14685.6,4041.2,0.0325,100
2,2589,11203.6,1991.8,0.0323,100
3,2589,6764.2,2862.2,0.0302,100
4,2589,6504.9,6452.0,0.0292,100
5,2589,23326.0,1167.1,0.0281,100
6,2589,6329.0,6522.9,0.028,100
7,2589,13210.4,5599.4,0.0278,100
8,2589,10683.9,1925.0,0.0277,100
9,2589,13250.4,5397.2,0.0272,100
0,2594,20500.3,18527.3,0.0321,100
1,2594,3846.8,11939.0,0.0315,100
2,2594,4162.2,12385.4,0.0306,100
3,2594,20551.1,18278.3,0.0293,100
4,2594,20439.1,18785.1,0.0292,100
5,2594,20318.0,14067.8,0.0291,100
6,2594,19560.3,5342.8,0.0285,100
7,2594,19616.1,8940.2,0.0283,100
8,2594,12333.4,10459.3,0.0281,100
9,2594,9336.0,8543.6,0.0279,100
0,2619,5414.7,11768.8,0.0436,100
1,2619,5678.5,8628.5,0.0427,100
2,2619,5763.2,8885.5,0.0425,100
3,2619,5432.1,9058.7,0.0423,100
4,2619,5312.6,11977.8,0.0421,100
5,2619,5566.8,11643.2,0.0416,100
6,2619,6365.8,7822.2,0.0415,100
7,2619,5503.0,8794.2,0.0415,100
