,file,x,y,density,r
0,2538,16664.4,9568.9,0.0375,100
1,2538,32714.7,8735.7,0.0361,100
2,2538,32495.9,8868.6,0.0347,100
3,2538,31499.5,9342,0.0328,100
4,2538,32328.4,8963.7,0.0305,100
5,2538,15489.8,17404.4,0.0296,100
6,2538,14523.1,14776.1,0.0286,100
7,2538,31504.2,11157.2,0.0277,100
8,2538,18534.2,17983.1,0.0272,100
9,2538,16198.3,9917.8,0.0268,100
0,2389,18715,10926.1,0.025,100
1,2389,18577.2,11028.7,0.0193,100
2,2389,16361.4,11729.5,0.0188,100
3,2389,12210.8,6148.2,0.0188,100
4,2389,10695.4,7124.8,0.0182,100
5,2389,16010.6,3942.1,0.018,100
6,2389,21971.1,4209.3,0.0175,100
7,2389,20239.8,5419.8,0.0175,100
8,2389,22311.9,7359.8,0.0175,100
9,2389,12060.7,5982.6,0.0174,100
0,2390,19279.4,15125.4,0.0333,100
1,2390,19073.8,14981.8,0.0328,100
2,2390,17396.2,1019,0.0298,100
3,2390,11158.7,13703.9,0.0289,100
4,2390,21966,3188.1,0.0274,100
5,2390,22183.1,2925.2,0.0257,100
6,2390,17529.5,855.53,0.0253,100
7,2390,11447,2502.1,0.0252,100
8,2390,19794.6,14416.1,0.025,100
9,2390,11240.8,13969.4,0.0244,100
0,2439,13303.2,6415.1,0.0262,100
1,2439,5424,3009.5,0.0261,100
2,2439,12368,8762.9,0.0257,100
3,2439,15902,3959,0.0253,100
4,2439,17897.8,8521.5,0.0243,100
5,2439,5500.3,4275.1,0.024,100
6,2439,12545.8,8595,0.0238,100
7,2439,18348.1,8479.4,0.0236,100
8,2439,3367.1,14010,0.0233,100
9,2439,13339.7,5925.2,0.0229,100
0,2487,17676.2,16236.3,0.0377,100
1,2487,14112.3,10614.8,0.031,100
2,2487,17492.2,16178.9,0.0272,100
3,2487,16986.9,9309,0.0271,100
4,2487,18325,7060,0.026,100
5,2487,18803.5,9020.9,0.024,100
6,2487,17289,10926.1,0.0237,100
7,2487,17761.6,16083.9,0.0234,100
8,2487,18433.9,9582,0.0231,100
9,2487,16711.1,8326.3,0.0228,100
0,2533,21295,6222,0.034,100
1,2533,21537.1,6173.9,0.027,100
2,2533,20861.3,6640.9,0.0256,100
3,2533,10156.4,14139,0.0255,100
4,2533,20775,6313.6,0.0248,100
5,2533,13011.4,20140.5,0.0246,100
6,2533,14825.2,19544.6,0.0244,100
7,2533,14451.2,19722.7,0.0242,100
8,2533,21098.5,6260.3,0.0238,100
9,2533,17252.8,4392,0.0236,100
0,2538,16664.4,9568.9,0.0375,100
1,2538,32714.7,8735.7,0.0361,100
2,2538,32495.9,8868.6,0.0347,100
3,2538,31499.5,9342,0.0328,100
4,2538,32328.4,8963.7,0.0305,100
5,2538,15489.8,17404.4,0.0296,100
6,2538,14523.1,14776.1,0.0286,100
7,2538,31504.2,11157.2,0.0277,100
8,2538,18534.2,17983.1,0.0272,100
9,2538,16198.3,9917.8,0.0268,100
0,2567,16566.3,8924.7,0.0548,100
1,2567,16032.2,8630.7,0.0529,100
2,2567,16353.7,8961.5,0.0526,100
3,2567,14594,9324.7,0.0525,100
4,2567,15402.7,9781.1,0.0521,100
5,2567,15669.5,10052.3,0.052,100
6,2567,15756.1,14871.1,0.0519,100
7,2567,15617.9,7800.2,0.0518,100
8,2567,15505,9421.2,0.0513,100
9,2567,15032,9258.6,0.0512,100
0,2589,1523.3,22320.8,0.0407,100
1,2589,1516,21908.6,0.0381,100
2,2589,1753.7,22357.7,0.0378,100
3,2589,5310.3,22409.7,0.0376,100
4,2589,1518.3,22110.2,0.0374,100
5,2589,1561.8,21641.5,0.0372,100
6,2589,1297,22407.5,0.0366,100
7,2589,2788.2,21286,0.0365,100
8,2589,20476.2,18621.6,0.0361,100
9,2589,20365.9,18981.9,0.0359,100
0,2594,14390,7947.6,0.0281,100
1,2594,9310.9,8582.8,0.0278,100
2,2594,3811,11947.6,0.0264,100
3,2594,11137.1,16374.9,0.0262,100
4,2594,20313.3,14064.3,0.0262,100
5,2594,20088.9,19404.3,0.0259,100
6,2594,20281.8,19170.4,0.0259,100
7,2594,15499.1,8517.3,0.0259,100
8,2594,19312.1,9059.3,0.0258,100
9,2594,19600.3,8920.6,0.0255,100
0,2619,14013.6,2801.9,0.0172,100
1,2619,11383.1,8395.1,0.0165,100
2,2619,13933.9,6666.9,0.0156,100
3,2619,11816.1,8711.2,0.0141,100
4,2619,12073.3,8490.9,0.0138,100
5,2619,6877.8,7699.8,0.0136,100
6,2619,10407.8,2993.8,0.0126,100
7,2619,13999.4,2998.6,0.0126,100
8,2619,16657.4,5995.4,0.0122,100
9,2619,10045.2,2923.7,0.0122,100
0,2655,19444.2,11340.2,0.0313,100
1,2655,18257.4,13208.8,0.0277,100
2,2655,17894.1,13216.3,0.0267,100
3,2655,13301.2,1980.8,0.0263,100
