Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	20253.3	4135.4	213.6428
3258.czi	9701.8	11785.4	51.7333
3258.czi	26033.9	8828.8	63.5537
3258.czi	19424	9166.2	47.3457
3258.czi	9207	8531.2	150.8039
3258.czi	20625.4	11728	67.3483
3258.czi	13967.5	2413.2	86.1169
3258.czi	20698.7	10062.8	51.1434
3258.czi	18439	11805.5	64.8474
3258.czi	34823.2	513.31	83.914
3258.czi	16086.3	2405.9	61.5953
3258.czi	20749.9	11607.3	60.949
3258.czi	13640.4	2037	63.7991
3258.czi	7713.2	8375.4	83.5541
3258.czi	6628.5	8946	74.1159
3258.czi	26419.9	9641.7	69.9378
3258.czi	10292.3	10324.9	249.4407
3258.czi	26842.9	6606	54.1047
3258.czi	24285.3	4313.9	72.9821
3258.czi	15484.6	11992.5	127.3509
3258.czi	33128.3	846.62	55.4439
3258.czi	29773.8	2560.5	69.2241
3258.czi	11364.4	12802.6	99.4923
3258.czi	12784.1	484.32	57.1552
3258.czi	31857	2812.3	75.811
3258.czi	24588.3	10759.8	71.9396
3258.czi	13303.6	3628.6	72.7735
3258.czi	23424.3	7999.9	51.6097
3258.czi	21389.2	11172.2	55.8214
3258.czi	8484.9	11761.7	75.0875
3258.czi	24693.9	10790.3	86.851
3258.czi	26184	5804	47.3149
3258.czi	9356.2	8572.1	60.9693
3258.czi	29004.7	4084	92.4009
3258.czi	15240.1	11811	82.7304
3258.czi	6525.1	10485.2	56.7993
3258.czi	15269	11774.4	116.2656
3258.czi	20273.2	12011.6	71.0794
3258.czi	18014	8357.3	45.8239
3258.czi	7931.5	629.99	52.8068
3258.czi	20119.7	9992	73.5421
3258.czi	21800.7	10897.6	56.1412
3258.czi	21043.8	2752.5	112.3003
3258.czi	18109.6	2215.1	55.084
3258.czi	18457.1	10520	60.0218
3258.czi	18668.3	2424.2	61.7227
3258.czi	31241.5	5915.1	79.8189
3258.czi	20805.4	10303.5	80.8201
3258.czi	18793.9	6770.1	52.2166
3258.czi	20047.3	8256	72.9645
3258.czi	18631	8761	48.9845
3258.czi	32976.3	852.21	50.5635
3258.czi	29769.1	2572.4	54.5216
3258.czi	16942.9	6404.7	51.7395
3258.czi	14744.6	12589	78.2183
3258.czi	22863.7	11524.1	64.8689
